fecha_iv,tc_iv
1993-01-25,3.1000
1993-01-26,3.1010
1993-01-27,3.1100
1993-01-28,3.1050
1993-01-29,3.1150
1993-02-01,3.1050
1993-02-02,3.1000
1993-02-03,3.1250
1993-02-04,3.1000
1993-02-08,3.1000
1993-02-09,3.1000
1993-02-10,3.0950
1993-02-11,3.1000
1993-02-12,3.1000
1993-02-15,3.1000
1993-02-16,3.1000
1993-02-17,3.1000
1993-02-18,3.0900
1993-02-19,3.0900
1993-02-22,3.0900
1993-02-23,3.0900
1993-02-24,3.0900
1993-02-25,3.0950
1993-02-26,3.1000
1993-03-01,3.0950
1993-03-02,3.0900
1993-03-03,3.0900
1993-03-04,3.0950
1993-03-05,3.1250
1993-03-08,3.1000
1993-03-09,3.1350
1993-03-10,3.1200
1993-03-11,3.1200
1993-03-12,3.1200
1993-03-15,3.1200
1993-03-16,3.1200
1993-03-17,3.1200
1993-03-18,3.1200
1993-03-19,3.1150
1993-03-22,3.1150
1993-03-23,3.1150
1993-03-24,3.1100
1993-03-25,3.1100
1993-03-26,3.1050
1993-03-29,3.1000
1993-03-30,3.0950
1993-03-31,3.0900
1993-04-01,3.0900
1993-04-02,3.0900
1993-04-05,3.0900
1993-04-06,3.0900
1993-04-07,3.1000
1993-04-12,3.1000
1993-04-13,3.1000
1993-04-14,3.0950
1993-04-15,3.0900
1993-04-16,3.0900
1993-04-19,3.0900
1993-04-20,3.0900
1993-04-21,3.0900
1993-04-22,3.0900
1993-04-23,3.0900
1993-04-26,3.0950
1993-04-27,3.1000
1993-04-28,3.1100
1993-04-29,3.1200
1993-04-30,3.1100
1993-05-03,3.1100
1993-05-04,3.1300
1993-05-06,3.1500
1993-05-07,3.1300
1993-05-10,3.1300
1993-05-11,3.1300
1993-05-12,3.1300
1993-05-13,3.1300
1993-05-14,3.1300
1993-05-17,3.1200
1993-05-18,3.1150
1993-05-19,3.1100
1993-05-20,3.1100
1993-05-21,3.1200
1993-05-24,3.1200
1993-05-25,3.1300
1993-05-26,3.1200
1993-05-27,3.1200
1993-05-28,3.1200
1993-05-31,3.1200
1993-06-01,3.1200
1993-06-02,3.1200
1993-06-03,3.1200
1993-06-04,3.1200
1993-06-07,3.1300
1993-06-08,3.1300
1993-06-09,3.1300
1993-06-10,3.1300
1993-06-11,3.1200
1993-06-14,3.1100
1993-06-15,3.1200
1993-06-16,3.1200
1993-06-17,3.1200
1993-06-18,3.1150
1993-06-21,3.1100
1993-06-22,3.1200
1993-06-23,3.1150
1993-06-24,3.1150
1993-06-25,3.1200
1993-06-28,3.1200
1993-06-29,3.1200
1993-06-30,3.1300
1993-07-01,3.1250
1993-07-02,3.1200
1993-07-05,3.1250
1993-07-06,3.1200
1993-07-07,3.1200
1993-07-08,3.1250
1993-07-09,3.1300
1993-07-12,3.1300
1993-07-13,3.1250
1993-07-14,3.1200
1993-07-15,3.1200
1993-07-16,3.1200
1993-07-19,3.1250
1993-07-20,3.1200
1993-07-21,3.1200
1993-07-22,3.1200
1993-07-23,3.1200
1993-07-26,3.1200
1993-07-27,3.1200
1993-07-28,3.1200
1993-07-29,3.1200
1993-07-30,3.1200
1993-08-02,3.1100
1993-08-03,3.1100
1993-08-04,3.1100
1993-08-05,3.1100
1993-08-06,3.1100
1993-08-09,3.1100
1993-08-10,3.1100
1993-08-11,3.1100
1993-08-12,3.1150
1993-08-13,3.1150
1993-08-16,3.1100
1993-08-17,3.1100
1993-08-18,3.1100
1993-08-19,3.1100
1993-08-20,3.1100
1993-08-23,3.1100
1993-08-24,3.1100
1993-08-25,3.1100
1993-08-26,3.1100
1993-08-27,3.1100
1993-08-30,3.1100
1993-08-31,3.1100
1993-09-01,3.1100
1993-09-02,3.1100
1993-09-03,3.1100
1993-09-06,3.1100
1993-09-07,3.1100
1993-09-08,3.1100
1993-09-09,3.1100
1993-09-10,3.1100
1993-09-13,3.1100
1993-09-14,3.1100
1993-09-15,3.1100
1993-09-17,3.1100
1993-09-20,3.1100
1993-09-21,3.1250
1993-09-22,3.1150
1993-09-23,3.1100
1993-09-24,3.1100
1993-09-27,3.1200
1993-09-28,3.1200
1993-09-29,3.1650
1993-09-30,3.1200
1993-10-01,3.1200
1993-10-04,3.1100
1993-10-05,3.1150
1993-10-06,3.1150
1993-10-07,3.1150
1993-10-08,3.1100
1993-10-11,3.1100
1993-10-13,3.1100
1993-10-14,3.1100
1993-10-15,3.1100
1993-10-18,3.1100
1993-10-19,3.1100
1993-10-20,3.1100
1993-10-21,3.1100
1993-10-22,3.1100
1993-10-25,3.1100
1993-10-26,3.1150
1993-10-27,3.1150
1993-10-28,3.1250
1993-10-29,3.1300
1993-11-03,3.1400
1993-11-04,3.1500
1993-11-05,3.1500
1993-11-08,3.1500
1993-11-09,3.2550
1993-11-10,3.2250
1993-11-11,3.1950
1993-11-12,3.2150
1993-11-15,3.2050
1993-11-16,3.1900
1993-11-17,3.1350
1993-11-18,3.1200
1993-11-19,3.1050
1993-11-22,3.1000
1993-11-23,3.1000
1993-11-24,3.1000
1993-11-25,3.1100
1993-11-26,3.1100
1993-11-29,3.1100
1993-11-30,3.1050
1993-12-01,3.1000
1993-12-02,3.1000
1993-12-03,3.1000
1993-12-06,3.1050
1993-12-07,3.1050
1993-12-08,3.1050
1993-12-09,3.1050
1993-12-10,3.1100
1993-12-13,3.1100
1993-12-14,3.1100
1993-12-15,3.1050
1993-12-16,3.1050
1993-12-17,3.1050
1993-12-20,3.1050
1993-12-21,3.1150
1993-12-22,3.1050
1993-12-23,3.1050
1993-12-24,3.1050
1993-12-27,3.1050
1993-12-28,3.1100
1993-12-29,3.1100
1993-12-30,3.1100
1994-01-03,3.1100
1994-01-04,3.1050
1994-01-05,3.1100
1994-01-06,3.1050
1994-01-07,3.1050
1994-01-10,3.1150
1994-01-11,3.1100
1994-01-12,3.1100
1994-01-13,3.1100
1994-01-14,3.1100
1994-01-17,3.1100
1994-01-18,3.1050
1994-01-19,3.1050
1994-01-20,3.1050
1994-01-21,3.1100
1994-01-24,3.1050
1994-01-25,3.1050
1994-01-26,3.1050
1994-01-27,3.1100
1994-01-28,3.1050
1994-01-31,3.1050
1994-02-01,3.1050
1994-02-02,3.1000
1994-02-03,3.1050
1994-02-04,3.1050
1994-02-07,3.1050
1994-02-08,3.1050
1994-02-09,3.1050
1994-02-10,3.1050
1994-02-11,3.1050
1994-02-14,3.1050
1994-02-15,3.1050
1994-02-16,3.1100
1994-02-17,3.1050
1994-02-18,3.1050
1994-02-21,3.1050
1994-02-22,3.1150
1994-02-23,3.1250
1994-02-24,3.1800
1994-02-25,3.1700
1994-02-28,3.1700
1994-03-01,3.1950
1994-03-02,3.2400
1994-03-03,3.2550
1994-03-04,3.2350
1994-03-07,3.2400
1994-03-08,3.2650
1994-03-09,3.2750
1994-03-10,3.2800
1994-03-11,3.2700
1994-03-14,3.2800
1994-03-15,3.3100
1994-03-16,3.3050
1994-03-17,3.3100
1994-03-18,3.3200
1994-03-22,3.3400
1994-03-23,3.3350
1994-03-25,3.3550
1994-03-28,3.3550
1994-03-29,3.3600
1994-03-30,3.3600
1994-04-04,3.3563
1994-04-05,3.3605
1994-04-06,3.3570
1994-04-07,3.3604
1994-04-08,3.3642
1994-04-11,3.3623
1994-04-12,3.3631
1994-04-13,3.3637
1994-04-14,3.3638
1994-04-15,3.3643
1994-04-18,3.3657
1994-04-19,3.3661
1994-04-20,3.3665
1994-04-21,3.3667
1994-04-22,3.3618
1994-04-25,3.3470
1994-04-26,3.3175
1994-04-27,3.2775
1994-04-28,3.2735
1994-04-29,3.2675
1994-05-02,3.2710
1994-05-03,3.2840
1994-05-04,3.2985
1994-05-06,3.3200
1994-05-09,3.3290
1994-05-10,3.3235
1994-05-11,3.3230
1994-05-12,3.3235
1994-05-13,3.3295
1994-05-16,3.3295
1994-05-17,3.3290
1994-05-18,3.3250
1994-05-19,3.3200
1994-05-20,3.3090
1994-05-23,3.2950
1994-05-24,3.2955
1994-05-25,3.2990
1994-05-26,3.3075
1994-05-27,3.3130
1994-05-30,3.3185
1994-05-31,3.3220
1994-06-01,3.3225
1994-06-02,3.3225
1994-06-03,3.3223
1994-06-06,3.3320
1994-06-07,3.3440
1994-06-08,3.3485
1994-06-09,3.3530
1994-06-10,3.3570
1994-06-13,3.3675
1994-06-14,3.3680
1994-06-15,3.3625
1994-06-16,3.3650
1994-06-17,3.3665
1994-06-20,3.3685
1994-06-21,3.3735
1994-06-22,3.3785
1994-06-23,3.3850
1994-06-24,3.3875
1994-06-27,3.3865
1994-06-28,3.3890
1994-06-29,3.3880
1994-06-30,3.3900
1994-07-01,3.3914
1994-07-04,3.3959
1994-07-05,3.3967
1994-07-06,3.3971
1994-07-07,3.3975
1994-07-08,3.3978
1994-07-11,3.3993
1994-07-12,3.3994
1994-07-13,3.4001
1994-07-14,3.4003
1994-07-15,3.4010
1994-07-18,3.3995
1994-07-19,3.4015
1994-07-20,3.4025
1994-07-21,3.4019
1994-07-22,3.4036
1994-07-25,3.4042
1994-07-26,3.4045
1994-07-27,3.3993
1994-07-28,3.3978
