fecha_in,tc_in,fecha_bx,tc_bx
13/07/1992,3.1200,13/07/1992,3.1156
14/07/1992,3.1200,14/07/1992,3.1174
15/07/1992,3.1200,15/07/1992,3.1184
16/07/1992,3.1200,16/07/1992,3.1175
17/07/1992,3.1150,17/07/1992,3.1149
20/07/1992,3.1200,20/07/1992,3.1166
21/07/1992,3.1150,21/07/1992,3.1156
22/07/1992,3.1100,22/07/1992,3.1125
23/07/1992,3.1100,23/07/1992,3.1113
24/07/1992,3.1100,24/07/1992,3.1100
27/07/1992,3.1150,27/07/1992,3.1139
28/07/1992,3.1150,28/07/1992,3.1161
29/07/1992,3.1150,29/07/1992,3.1141
30/07/1992,3.1100,30/07/1992,3.1113
31/07/1992,3.1100,31/07/1992,3.1124
03/08/1992,3.1100,03/08/1992,3.1094
04/08/1992,3.1100,04/08/1992,3.1071
05/08/1992,3.1050,05/08/1992,3.1084
06/08/1992,3.1000,06/08/1992,3.1021
07/08/1992,3.1000,07/08/1992,3.1020
10/08/1992,3.1000,10/08/1992,3.0984
11/08/1992,3.0900,11/08/1992,3.0881
12/08/1992,3.0750,12/08/1992,3.0759
13/08/1992,3.0700,13/08/1992,3.0733
14/08/1992,3.0800,14/08/1992,3.0768
17/08/1992,3.0900,17/08/1992,3.0869
18/08/1992,3.0850,18/08/1992,3.0876
19/08/1992,3.0800,19/08/1992,3.0853
20/08/1992,3.0800,20/08/1992,3.0814
21/08/1992,3.0850,21/08/1992,3.0836
24/08/1992,3.0800,24/08/1992,3.0855
25/08/1992,3.0800,25/08/1992,3.0810
26/08/1992,3.0800,26/08/1992,3.0789
27/08/1992,3.0800,27/08/1992,3.0810
28/08/1992,3.0800,28/08/1992,3.0810
31/08/1992,3.0800,31/08/1992,3.0765
01/09/1992,3.0700,01/09/1992,3.0715
02/09/1992,3.0700,02/09/1992,3.0694
03/09/1992,3.0650,03/09/1992,3.0699
04/09/1992,3.0650,04/09/1992,3.0681
07/09/1992,3.0600,07/09/1992,3.0638
08/09/1992,3.0600,08/09/1992,3.0636
09/09/1992,3.0600,09/09/1992,3.0630
10/09/1992,3.0700,10/09/1992,3.0768
11/09/1992,3.0800,11/09/1992,3.0948
14/09/1992,3.0950,14/09/1992,3.0941
15/09/1992,3.0950,15/09/1992,3.0926
17/09/1992,3.0900,17/09/1992,3.0916
18/09/1992,3.0900,18/09/1992,3.0864
21/09/1992,3.0900,21/09/1992,3.0884
22/09/1992,3.1000,22/09/1992,3.1111
23/09/1992,3.1200,23/09/1992,3.1208
24/09/1992,3.1200,24/09/1992,3.1040
25/09/1992,3.1050,25/09/1992,3.1071
28/09/1992,3.1100,28/09/1992,3.1161
29/09/1992,3.1100,29/09/1992,3.1131
30/09/1992,3.1100,30/09/1992,3.1090
01/10/1992,3.1100,01/10/1992,3.1110
02/10/1992,3.1100,02/10/1992,3.1145
05/10/1992,3.1100,05/10/1992,3.1130
06/10/1992,3.1100,06/10/1992,3.1137
07/10/1992,3.1100,07/10/1992,3.1119
08/10/1992,3.1100,08/10/1992,3.1151
09/10/1992,3.1100,09/10/1992,3.1138
13/10/1992,3.1100,13/10/1992,3.1219
14/10/1992,3.1100,14/10/1992,3.1360
15/10/1992,3.1300,15/10/1992,3.1344
16/10/1992,3.1300,16/10/1992,3.1340
19/10/1992,3.1400,19/10/1992,3.1429
20/10/1992,3.1350,20/10/1992,3.1355
21/10/1992,3.1300,21/10/1992,3.1285
22/10/1992,3.1300,22/10/1992,3.1252
23/10/1992,3.1300,23/10/1992,3.1190
26/10/1992,3.1150,26/10/1992,3.1181
27/10/1992,3.1250,27/10/1992,3.1364
28/10/1992,3.1300,28/10/1992,3.1321
29/10/1992,3.1250,29/10/1992,3.1309
30/10/1992,3.1250,30/10/1992,3.1256
03/11/1992,3.1250,03/11/1992,3.1258
04/11/1992,3.1300,04/11/1992,3.1271
05/11/1992,3.1250,05/11/1992,3.1253
06/11/1992,3.1200,06/11/1992,3.1188
09/11/1992,3.1200,09/11/1992,3.1249
10/11/1992,3.1200,10/11/1992,3.1197
11/11/1992,3.1150,11/11/1992,3.1148
12/11/1992,3.1150,12/11/1992,3.1156
13/11/1992,3.1100,13/11/1992,3.1130
16/11/1992,3.1150,16/11/1992,3.1195
17/11/1992,3.1150,17/11/1992,3.1168
18/11/1992,3.1150,18/11/1992,3.1150
19/11/1992,3.1100,19/11/1992,3.1143
23/11/1992,3.1200,23/11/1992,3.1194
24/11/1992,3.1200,24/11/1992,3.1193
25/11/1992,3.1150,25/11/1992,3.1138
26/11/1992,3.1100,26/11/1992,3.1159
27/11/1992,3.1100,27/11/1992,3.1149
30/11/1992,3.1100,30/11/1992,3.1141
01/12/1992,3.1150,01/12/1992,3.1170
02/12/1992,3.1100,02/12/1992,3.1160
03/12/1992,3.1100,03/12/1992,3.1139
04/12/1992,3.1150,04/12/1992,3.1158
07/12/1992,3.1200,07/12/1992,3.1176
08/12/1992,3.1100,08/12/1992,3.1132
09/12/1992,3.1100,09/12/1992,3.1128
10/12/1992,3.1100,10/12/1992,3.1117
11/12/1992,3.1150,11/12/1992,3.1137
14/12/1992,3.1200,14/12/1992,3.1169
15/12/1992,3.1250,15/12/1992,3.1372
16/12/1992,3.1300,16/12/1992,3.1352
17/12/1992,3.1250,17/12/1992,3.1204
