id,Port Name,State,Port Code,Border,Date,Measure,Value
10426,Sault Sainte Marie,Michigan,3803,US-Canada Border,2019/01/02,Personal Vehicle Passengers,64681
10427,Ferry,Washington,3013,US-Canada Border,2019/01/02,Personal Vehicle Passengers,833
10428,Portal,North Dakota,3403,US-Canada Border,2019/01/02,Trains,125
10429,Houlton,Maine,106,US-Canada Border,2019/01/02,Personal Vehicle Passengers,22214
10430,Ketchikan,Alaska,3102,US-Canada Border,2019/01/02,Personal Vehicles,27
10431,Columbus,New Mexico,2406,US-Mexico Border,2019/01/02,Bus Passengers,912
10432,Opheim,Montana,3317,US-Canada Border,2019/01/02,Personal Vehicle Passengers,234
10433,Eastport,Idaho,3302,US-Canada Border,2019/01/02,Buses,6
10434,Lynden,Washington,3023,US-Canada Border,2019/01/02,Trucks,2727
10435,Eagle Pass,Texas,2303,US-Mexico Border,2019/01/02,Bus Passengers,3705
10436,Port Huron,Michigan,3802,US-Canada Border,2019/01/02,Trucks,59920
10437,Dalton Cache,Alaska,3106,US-Canada Border,2019/01/02,Personal Vehicles,371
10438,Buffalo-Niagara Falls,New York,901,US-Canada Border,2019/01/02,Rail Containers Full,7263
