id,Port Name,State,Port Code,Border,Date,Measure,Value
10746,Tecate,California,2505,US-Mexico Border,2019/01/02,Truck Containers Full,2579
10747,Sherwood,North Dakota,3414,US-Canada Border,2019/01/02,Personal Vehicle Passengers,1801
10748,Eastport,Idaho,3302,US-Canada Border,2019/01/02,Trucks,3975
10749,Laurier,Washington,3016,US-Canada Border,2019/01/02,Buses,2
10750,Roma,Texas,2310,US-Mexico Border,2019/01/02,Bus Passengers,563
10751,Champlain-Rouses Point,New York,712,US-Canada Border,2019/01/02,Buses,425
10752,Massena,New York,704,US-Canada Border,2019/01/02,Personal Vehicles,57770
10753,Buffalo-Niagara Falls,New York,901,US-Canada Border,2019/01/02,Truck Containers Full,56344
10754,Portal,North Dakota,3403,US-Canada Border,2019/01/02,Rail Containers Full,13835
10755,Madawaska,Maine,109,US-Canada Border,2019/01/02,Personal Vehicles,24711
10756,Calexico East,California,2507,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,415148
10757,Columbus,New Mexico,2406,US-Mexico Border,2019/01/02,Personal Vehicles,25428
10758,Fort Kent,Maine,110,US-Canada Border,2019/01/02,Buses,3
10759,Sault Sainte Marie,Michigan,3803,US-Canada Border,2019/01/02,Trains,28
10760,Skagway,Alaska,3103,US-Canada Border,2019/01/02,Personal Vehicle Passengers,1300
10761,Blaine,Washington,3004,US-Canada Border,2019/01/02,Train Passengers,3993
10762,Noonan,North Dakota,3420,US-Canada Border,2019/01/02,Trucks,230
10763,Hannah,North Dakota,3408,US-Canada Border,2019/01/02,Truck Containers Full,34
10764,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Train Passengers,105
10765,Carbury,North Dakota,3421,US-Canada Border,2019/01/02,Buses,3
10766,Sumas,Washington,3009,US-Canada Border,2019/01/02,Trains,6
10767,Beecher Falls,Vermont,206,US-Canada Border,2019/01/02,Truck Containers Empty,548
10768,Fortuna,North Dakota,3417,US-Canada Border,2019/01/02,Personal Vehicles,603
10769,Calexico East,California,2507,US-Mexico Border,2019/01/02,Buses,137
10770,Ambrose,North Dakota,3410,US-Canada Border,2019/01/02,Personal Vehicles,70
10771,Hansboro,North Dakota,3415,US-Canada Border,2019/01/02,Truck Containers Full,1
10772,Houlton,Maine,106,US-Canada Border,2019/01/02,Truck Containers Empty,1639
10773,Sherwood,North Dakota,3414,US-Canada Border,2019/01/02,Buses,1
10774,Cross Border Xpress,California,2582,US-Mexico Border,2019/01/02,Pedestrians,98519
10775,Norton,Vermont,211,US-Canada Border,2019/01/02,Train Passengers,35
10776,Scobey,Montana,3309,US-Canada Border,2019/01/02,Truck Containers Full,15
10777,Roseau,Minnesota,3426,US-Canada Border,2019/01/02,Trucks,175
10778,Scobey,Montana,3309,US-Canada Border,2019/01/02,Personal Vehicles,277
10779,Nogales,Arizona,2604,US-Mexico Border,2019/01/02,Train Passengers,264
10780,Hidalgo,Texas,2305,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,681528
10781,Naco,Arizona,2603,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,40858
10782,Lancaster,Minnesota,3430,US-Canada Border,2019/01/02,Personal Vehicle Passengers,2301
10783,Fort Kent,Maine,110,US-Canada Border,2019/01/02,Trucks,1428
10784,Antler,North Dakota,3413,US-Canada Border,2019/01/02,Personal Vehicle Passengers,712
10785,Jackman,Maine,104,US-Canada Border,2019/01/02,Buses,5
10786,Skagway,Alaska,3103,US-Canada Border,2019/01/02,Truck Containers Empty,137
10787,Hansboro,North Dakota,3415,US-Canada Border,2019/01/02,Buses,1
10788,Trout River,New York,715,US-Canada Border,2019/01/02,Truck Containers Full,453
10789,Trout River,New York,715,US-Canada Border,2019/01/02,Rail Containers Full,1736
10790,Eastport,Maine,103,US-Canada Border,2019/01/02,Buses,1
10791,Laurier,Washington,3016,US-Canada Border,2019/01/02,Personal Vehicle Passengers,3992
10792,Sault Sainte Marie,Michigan,3803,US-Canada Border,2019/01/02,Trucks,3073
10793,Santa Teresa,New Mexico,2408,US-Mexico Border,2019/01/02,Buses,15
10794,Alexandria Bay,New York,708,US-Canada Border,2019/01/02,Bus Passengers,1170
10795,Roosville,Montana,3318,US-Canada Border,2019/01/02,Truck Containers Empty,250
10796,Sumas,Washington,3009,US-Canada Border,2019/01/02,Pedestrians,3294
10797,Wildhorse,Montana,3323,US-Canada Border,2019/01/02,Truck Containers Full,183
10798,Columbus,New Mexico,2406,US-Mexico Border,2019/01/02,Buses,76
10799,Warroad,Minnesota,3423,US-Canada Border,2019/01/02,Buses,46
10800,Champlain-Rouses Point,New York,712,US-Canada Border,2019/01/02,Rail Containers Empty,443
10801,Detroit,Michigan,3801,US-Canada Border,2019/01/02,Train Passengers,408
10802,Presidio,Texas,2403,US-Mexico Border,2019/01/02,Bus Passengers,125
10803,Alcan,Alaska,3104,US-Canada Border,2019/01/02,Truck Containers Empty,315
